need_id,case_id,need_type,description,urgency
N0388,C0452,Shelter,Moderate need,High
N0389,C0010,Food,Urgent,Medium
N0390,C0825,Shelter,Urgent,Medium
N0391,C0697,Financial,Moderate need,Low
N0392,C0456,Food,Moderate need,Medium
N0393,C0024,Financial,Moderate need,Medium
N0394,C0379,Medical,Urgent,Medium
N0395,C0602,Shelter,Moderate need,High
N0396,C0864,Medical,Urgent,High
N0397,C0580,Food,Urgent,Medium
N0398,C0499,Financial,Urgent,High
N0399,C0827,Shelter,Minor,High
N0400,C0703,Food,Minor,Medium
N0401,C0821,Shelter,Minor,High
N0402,C0394,Food,Moderate need,Low
N0403,C0104,Medical,Urgent,Medium
N0404,C0414,Shelter,Minor,High
N0405,C0190,Food,Urgent,High
N0406,C0310,Financial,Minor,Low
N0407,C0113,Financial,Urgent,High
N0408,C0591,Food,Moderate need,Medium
N0409,C0644,Financial,Minor,Medium
N0410,C0711,Financial,Urgent,High
N0411,C0704,Financial,Moderate need,High
N0412,C0679,Financial,Urgent,Low
N0413,C0201,Medical,Moderate need,Low
N0414,C0341,Financial,Urgent,High
N0415,C0556,Shelter,Minor,Medium
N0416,C0368,Medical,Urgent,Low
N0417,C0644,Medical,Minor,Low
N0418,C0627,Medical,Minor,Medium
N0419,C0249,Financial,Minor,Low
N0420,C0474,Medical,Minor,Low
N0421,C0176,Medical,Urgent,Medium
N0422,C0298,Medical,Moderate need,Medium
N0423,C0258,Food,Minor,Low
N0424,C0086,Medical,Urgent,High
N0425,C0661,Shelter,Urgent,Medium
N0426,C0828,Shelter,Minor,High
N0427,C0346,Medical,Urgent,High
N0428,C0634,Shelter,Moderate need,Medium
N0429,C0775,Shelter,Urgent,High
N0430,C0111,Shelter,Minor,High
N0431,C0342,Medical,Moderate need,High
N0432,C0005,Financial,Moderate need,Medium
N0433,C0780,Shelter,Urgent,Low
N0434,C0079,Medical,Minor,High
N0435,C0424,Shelter,Moderate need,Medium
N0436,C0258,Shelter,Urgent,Low
N0437,C0618,Shelter,Minor,Medium
N0438,C0667,Food,Minor,High
N0439,C0414,Food,Moderate need,Medium
N0440,C0179,Food,Minor,Medium
N0441,C0008,Financial,Urgent,Low
N0442,C0886,Shelter,Moderate need,Medium
N0443,C0880,Medical,Urgent,High
N0444,C0312,Financial,Minor,Medium
N0445,C0341,Financial,Urgent,Low
N0446,C0642,Food,Moderate need,Medium
N0447,C0537,Shelter,Moderate need,High
N0448,C0292,Medical,Moderate need,Medium
N0449,C0522,Food,Minor,High
N0450,C0440,Medical,Urgent,Medium
N0451,C0581,Financial,Urgent,Medium
N0452,C0323,Medical,Minor,Low
N0453,C0242,Shelter,Urgent,Medium
N0454,C0203,Food,Urgent,Medium
N0455,C0587,Financial,Urgent,High
N0456,C0190,Food,Urgent,High
N0457,C0811,Food,Urgent,Low
N0458,C0213,Shelter,Minor,Low
N0459,C0117,Financial,Minor,High
N0460,C0065,Medical,Urgent,High
N0461,C0008,Food,Urgent,Low
N0462,C0802,Medical,Minor,Medium
N0463,C0295,Food,Minor,Low
N0464,C0312,Medical,Moderate need,Low
N0465,C0385,Food,Urgent,High
N0466,C0341,Financial,Urgent,High
N0467,C0420,Shelter,Moderate need,Low
N0468,C0379,Medical,Moderate need,Low
N0469,C0253,Financial,Urgent,Medium
N0470,C0369,Shelter,Urgent,Low
N0471,C0815,Shelter,Urgent,High
N0472,C0023,Shelter,Urgent,Medium
N0473,C0139,Medical,Urgent,Low
N0474,C0762,Shelter,Moderate need,Medium
N0475,C0599,Food,Minor,High
N0476,C0442,Food,Minor,Low
N0477,C0221,Financial,Minor,Medium
N0478,C0484,Financial,Moderate need,High
N0479,C0022,Financial,Minor,Medium
N0480,C0124,Shelter,Minor,High
N0481,C0501,Medical,Moderate need,High
N0482,C0579,Shelter,Moderate need,Medium
N0483,C0786,Shelter,Minor,High
N0484,C0853,Medical,Moderate need,High
N0485,C0313,Medical,Minor,High
N0486,C0622,Shelter,Minor,Low
N0487,C0807,Medical,Moderate need,High
N0488,C0027,Shelter,Minor,Medium
N0489,C0732,Shelter,Moderate need,High
N0490,C0378,Medical,Moderate need,Medium
N0491,C0896,Shelter,Minor,Medium
N0492,C0727,Shelter,Moderate need,Medium
N0493,C0188,Financial,Urgent,Medium
N0494,C0059,Food,Minor,Low
N0495,C0311,Medical,Moderate need,Medium
N0496,C0032,Shelter,Urgent,Medium
N0497,C0722,Financial,Moderate need,High
N0498,C0049,Financial,Moderate need,Medium
N0499,C0632,Food,Minor,Low
N0500,C0739,Financial,Minor,Medium
N0501,C0788,Shelter,Urgent,High
N0502,C0868,Financial,Minor,Low
N0503,C0419,Food,Urgent,Low
N0504,C0885,Food,Moderate need,High
N0505,C0787,Financial,Urgent,Medium
N0506,C0122,Financial,Moderate need,Medium
N0507,C0484,Financial,Moderate need,Low
N0508,C0823,Shelter,Moderate need,Medium
N0509,C0798,Medical,Moderate need,High
N0510,C0764,Food,Urgent,High
N0511,C0051,Shelter,Minor,Low
N0512,C0781,Food,Urgent,High
N0513,C0485,Food,Moderate need,Low
N0514,C0817,Financial,Moderate need,High
N0515,C0436,Food,Urgent,High
N0516,C0346,Financial,Urgent,Low
N0517,C0217,Shelter,Minor,High
N0518,C0791,Food,Urgent,High
N0519,C0093,Shelter,Minor,Medium
N0520,C0646,Shelter,Minor,Medium
N0521,C0383,Shelter,Minor,Medium
N0522,C0297,Food,Urgent,Low
N0523,C0465,Shelter,Minor,Low
N0524,C0255,Food,Urgent,Medium
N0525,C0682,Shelter,Minor,Medium
N0526,C0299,Financial,Minor,Medium
N0527,C0148,Shelter,Minor,Low
N0528,C0599,Food,Moderate need,Medium
N0529,C0485,Financial,Moderate need,Low
N0530,C0799,Food,Moderate need,Low
N0531,C0373,Financial,Moderate need,High
N0532,C0239,Financial,Minor,Medium
N0533,C0627,Food,Urgent,High
N0534,C0386,Shelter,Minor,Medium
N0535,C0529,Food,Urgent,Low
N0536,C0430,Shelter,Minor,High
N0537,C0868,Medical,Moderate need,Medium
N0538,C0700,Medical,Moderate need,Medium
N0539,C0573,Food,Minor,High
N0540,C0831,Financial,Urgent,Medium
N0541,C0148,Financial,Moderate need,Medium
N0542,C0350,Shelter,Urgent,Medium
N0543,C0685,Financial,Moderate need,High
N0544,C0288,Financial,Moderate need,High
N0545,C0021,Financial,Moderate need,Low
N0546,C0377,Medical,Moderate need,Medium
N0547,C0091,Food,Urgent,Low
N0548,C0429,Shelter,Moderate need,High
N0549,C0076,Food,Moderate need,Medium
N0550,C0054,Food,Urgent,Medium
N0551,C0628,Shelter,Moderate need,Low
N0552,C0581,Shelter,Urgent,Low
N0553,C0213,Financial,Urgent,Medium
N0554,C0077,Shelter,Urgent,Low
N0555,C0313,Shelter,Urgent,Low
N0556,C0523,Shelter,Minor,High
N0557,C0835,Medical,Urgent,High
N0558,C0511,Shelter,Minor,Medium
N0559,C0545,Shelter,Minor,High
N0560,C0654,Medical,Urgent,Medium
N0561,C0704,Food,Moderate need,Low
N0562,C0051,Shelter,Moderate need,High
N0563,C0501,Shelter,Minor,Low
N0564,C0004,Shelter,Urgent,Medium
N0565,C0761,Food,Moderate need,Low
N0566,C0411,Shelter,Moderate need,Medium
N0567,C0627,Food,Urgent,Low
N0568,C0493,Medical,Minor,High
N0569,C0574,Shelter,Moderate need,Medium
N0570,C0664,Medical,Moderate need,Low
N0571,C0289,Financial,Moderate need,High
N0572,C0138,Medical,Urgent,Medium
N0573,C0449,Medical,Minor,High
N0574,C0848,Shelter,Minor,Medium
N0575,C0025,Shelter,Moderate need,Low
N0576,C0247,Medical,Minor,Low
N0577,C0708,Financial,Minor,Medium
N0578,C0869,Medical,Moderate need,High
N0579,C0343,Food,Urgent,Low
N0580,C0100,Shelter,Moderate need,High
N0581,C0502,Medical,Moderate need,Medium
N0582,C0603,Medical,Minor,High
N0583,C0556,Food,Urgent,High
N0584,C0324,Medical,Minor,Low
N0585,C0683,Food,Minor,Low
N0586,C0258,Food,Urgent,Low
N0587,C0511,Shelter,Minor,Low
N0588,C0784,Medical,Urgent,High
N0589,C0089,Food,Minor,Low
N0590,C0491,Medical,Moderate need,Low
N0591,C0261,Medical,Minor,High
N0592,C0179,Shelter,Moderate need,Medium
N0593,C0837,Financial,Urgent,Low
N0594,C0179,Food,Moderate need,High
N0595,C0046,Financial,Moderate need,Low
N0596,C0638,Medical,Minor,High
N0597,C0784,Financial,Minor,Low
N0598,C0246,Financial,Minor,Medium
N0599,C0782,Shelter,Minor,High
N0600,C0147,Food,Moderate need,Medium
N0601,C0637,Financial,Urgent,Medium
N0602,C0012,Food,Urgent,Low
N0603,C0056,Food,Moderate need,Medium
N0604,C0853,Medical,Urgent,Medium
N0605,C0301,Food,Minor,High
N0606,C0088,Financial,Minor,High
N0607,C0715,Food,Moderate need,High
N0608,C0886,Shelter,Moderate need,Medium
N0609,C0795,Shelter,Urgent,High
N0610,C0166,Food,Minor,Medium
N0611,C0009,Shelter,Moderate need,Low
N0612,C0102,Shelter,Moderate need,Low
N0613,C0177,Shelter,Moderate need,Medium
N0614,C0504,Financial,Urgent,Medium
N0615,C0639,Food,Urgent,Low
N0616,C0040,Financial,Urgent,Medium
N0617,C0394,Shelter,Moderate need,High
N0618,C0427,Medical,Urgent,Medium
N0619,C0010,Shelter,Minor,Low
N0620,C0826,Food,Urgent,High
N0621,C0645,Medical,Minor,Low
N0622,C0854,Food,Moderate need,Low
N0623,C0448,Medical,Moderate need,High
N0624,C0535,Financial,Minor,Low
N0625,C0782,Financial,Urgent,High
N0626,C0558,Food,Moderate need,High
N0627,C0157,Medical,Moderate need,High
N0628,C0319,Food,Moderate need,Low
N0629,C0644,Shelter,Minor,Medium
N0630,C0367,Food,Urgent,High
N0631,C0176,Financial,Urgent,Low
N0632,C0416,Medical,Moderate need,Low
N0633,C0797,Financial,Moderate need,High
N0634,C0471,Shelter,Moderate need,Medium
N0635,C0110,Medical,Urgent,Low
N0636,C0630,Food,Moderate need,High
N0637,C0770,Food,Minor,Low
N0638,C0765,Medical,Moderate need,Low
N0639,C0748,Medical,Minor,High
N0640,C0674,Shelter,Urgent,Medium
N0641,C0817,Food,Minor,High
N0642,C0169,Financial,Moderate need,Low
N0643,C0283,Food,Moderate need,Low
N0644,C0011,Medical,Moderate need,Low
N0645,C0396,Food,Minor,Medium
N0646,C0192,Medical,Urgent,High
N0647,C0689,Financial,Moderate need,Medium
N0648,C0198,Medical,Moderate need,Low
N0649,C0437,Shelter,Minor,Low
N0650,C0896,Food,Moderate need,Low
N0651,C0281,Shelter,Minor,Medium
N0652,C0199,Financial,Minor,Low
N0653,C0717,Medical,Moderate need,Low
N0654,C0057,Food,Minor,Medium
N0655,C0607,Shelter,Minor,High
N0656,C0752,Financial,Urgent,High
N0657,C0247,Food,Urgent,High
N0658,C0504,Shelter,Moderate need,Low
N0659,C0327,Financial,Moderate need,Medium
N0660,C0471,Food,Minor,High
N0661,C0883,Medical,Urgent,Medium
N0662,C0645,Medical,Minor,Medium
N0663,C0028,Medical,Urgent,Low
N0664,C0343,Medical,Minor,High
N0665,C0157,Shelter,Urgent,Medium
N0666,C0048,Medical,Urgent,High
N0667,C0127,Medical,Moderate need,High
N0668,C0495,Medical,Urgent,High
N0669,C0752,Medical,Urgent,Medium
N0670,C0094,Medical,Urgent,Medium
N0671,C0315,Food,Urgent,Low
N0672,C0497,Medical,Minor,High
N0673,C0635,Financial,Moderate need,Medium
N0674,C0074,Medical,Urgent,Medium
N0675,C0013,Shelter,Urgent,High
N0676,C0162,Financial,Moderate need,Medium
N0677,C0711,Food,Minor,Low
N0678,C0199,Medical,Urgent,Medium
N0679,C0080,Shelter,Minor,Medium
N0680,C0775,Medical,Minor,High
N0681,C0093,Shelter,Urgent,Low
N0682,C0056,Shelter,Urgent,High
N0683,C0483,Shelter,Urgent,Medium
N0684,C0540,Medical,Urgent,High
N0685,C0118,Financial,Minor,High
N0686,C0559,Financial,Minor,High
N0687,C0378,Medical,Moderate need,Medium
N0688,C0842,Food,Urgent,High
N0689,C0756,Medical,Minor,Medium
N0690,C0454,Shelter,Moderate need,High
N0691,C0128,Financial,Minor,Low
N0692,C0072,Medical,Moderate need,High
N0693,C0787,Shelter,Minor,Medium
N0694,C0174,Financial,Urgent,Low
